Date,Value
2021-01-04,500
2021-01-11,5000
2021-01-18,900
2021-01-25,3500
2021-02-01,4000
2021-02-08,800
2021-02-15,5000
2021-02-22,1100
2021-03-03,3000
2021-03-10,3500
2021-03-17,600
2021-03-24,500
2021-04-07,700
2021-04-14,3300
2021-04-21,1300
2021-04-28,400
2021-05-05,1800
2021-05-12,2900
2021-05-19,600
2021-05-26,1000
2021-06-02,400
2021-06-09,2900
2021-06-16,1200
2021-06-23,800
2021-07-07,600
2021-07-14,2900
2021-07-21,1200
2021-07-28,900
2021-08-04,1100
2021-08-11,2900
2021-08-18,400
2021-08-25,900
2021-09-04,800
2021-09-11,3000
2021-09-18,1400
2021-09-25,700
2021-10-02,1100
2021-10-09,3200
2021-10-16,600
2021-10-23,900
2021-11-06,800
2021-11-13,4000
2021-11-20,1200
2021-11-27,1600
2021-12-04,1200
2021-12-11,5000
2021-12-18,1500
2021-12-25,2500
